feature,mean_abs_shap
rev_lag_1,0.17596824
year,0.08567827
doy_rev_mean,0.0735295
log_doy_rev_mean,0.0390389
rev_lag_7,0.037073884
doy_rev_median,0.035692457
peak_doy_rev_mean,0.028013708
rev_lag_14,0.027666805
days_to_tet,0.022011295
dayofweek,0.019384887
days_from_month_end,0.017748987
recent_doy_rev_mean,0.016977256
day,0.015966436
rev_ewm7,0.015616933
month_dow_rev_mean,0.015581952
post2018_doy_rev_mean,0.014672639
rev_roll28_mean,0.0119365025
rev_lag_28,0.011771594
doy_orders_mean,0.011512834
rev_lag_6,0.009254793
doy_rev_std,0.009002085
rev_lag_365,0.008412985
log_recent_doy_mean,0.008154232
rev_roll7_mean,0.005806463
rev_ewm28,0.005636301
